As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,West Arnhem,13
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Yuendumu - Anmatjere,14
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Unknown ,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,Palmerston,,20
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,Tennant Creek,,5
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Alice Springs,,33
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Darwin,,66
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Katherine,,16
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Nhulunbuy,,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Daly,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,East Arnhem,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Petermann - Simpson,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Sandover - Plenty,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Thamarrurr,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Victoria River,3
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Weddell,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,West Arnhem,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Unknown ,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Palmerston,,9
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Tennant Creek,,10
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Alice Springs,,59
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Darwin,,51
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Katherine,,36
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Nhulunbuy,,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Alligator,6
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Anindilyakwa,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Barkly,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Daly,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,East Arnhem,4
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Elsey,9
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Gulf,9
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Humpty Doo,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Petermann - Simpson,6
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Sandover - Plenty,4
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Tanami,6
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Thamarrurr,11
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Tiwi Islands,6
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Victoria River,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Weddell,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,West Arnhem,10
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Yuendumu - Anmatjere,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Unknown ,8
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Palmerston,,33
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Tennant Creek,,18
2/01/2025,2023,12,Acts intended to cause Injury,Other acts intended to cause injury,-,-,Darwin,,1
2/01/2025,2023,12,Acts intended to cause Injury,Other acts intended to cause injury,-,-,NT Balance,Howard Springs,1
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Alice Springs,,50
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Darwin,,22
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Katherine,,13
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Nhulunbuy,,4
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Alligator,1
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Barkly,1
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Daly,4
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,East Arnhem,8
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Gulf,5
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Howard Springs,3
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Petermann - Simpson,2
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Sandover - Plenty,4
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Tanami,3
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Thamarrurr,1
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Victoria River,1
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Virginia,3
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Weddell,4
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,West Arnhem,6
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Yuendumu - Anmatjere,2
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Unknown ,3
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Palmerston,,8
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Tennant Creek,,20
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Alice Springs,,6
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Darwin,,4
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Katherine,,4
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Gulf,1
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Howard Springs,1
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Tiwi Islands,2
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Victoria River,1
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Palmerston,,3
2/01/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Tennant Creek,,2
2/01/2025,2023,12,Homicide and related Offences,Driving causing death,-,-,Darwin,,1
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,Alice Springs,,115
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,Darwin,,34
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,Katherine,,19
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,Nhulunbuy,,1
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Anindilyakwa,7
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Barkly,3
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,East Arnhem,7
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Howard Springs,1
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Humpty Doo,2
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Tanami,1
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Thamarrurr,1
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Tiwi Islands,2
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Victoria River,6
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Weddell,3
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,West Arnhem,5
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Yuendumu - Anmatjere,2
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Unknown ,4
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,Palmerston,,15
2/01/2025,2023,12,House break-ins,House break-ins actual,-,-,Tennant Creek,,39
2/01/2025,2023,12,House break-ins,House break-ins attempted,-,-,Alice Springs,,20
2/01/2025,2023,12,House break-ins,House break-ins attempted,-,-,Darwin,,4
2/01/2025,2023,12,House break-ins,House break-ins attempted,-,-,Katherine,,2
2/01/2025,2023,12,House break-ins,House break-ins attempted,-,-,NT Balance,Anindilyakwa,2
2/01/2025,2023,12,House break-ins,House break-ins attempted,-,-,NT Balance,Tiwi Islands,1
2/01/2025,2023,12,House break-ins,House break-ins attempted,-,-,NT Balance,Unknown ,3
2/01/2025,2023,12,House break-ins,House break-ins attempted,-,-,Palmerston,,6
2/01/2025,2023,12,House break-ins,House break-ins attempted,-,-,Tennant Creek,,5
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Alice Springs,,19
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Darwin,,15
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Katherine,,2
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Nhulunbuy,,2
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Alligator,1
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Howard Springs,2
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Humpty Doo,2
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Sandover - Plenty,1
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Thamarrurr,2
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Tiwi Islands,1
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Victoria River,1
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Weddell,1
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,West Arnhem,1
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Palmerston,,13
2/01/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Tennant Creek,,2
2/01/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Alice Springs,,7
2/01/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Darwin,,5
2/01/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Katherine,,1
2/01/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,NT Balance,Petermann - Simpson,2
2/01/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,NT Balance,Thamarrurr,2
