"as_at","year","month_number","offence_category","offence_type","alcohol_involvement","dv_involvement","reporting_region","statistical_area_2","number_of_offences"
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Sandover - Plenty",5
"3/03/2025",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Sandover - Plenty",6
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Tanami",11
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Tanami",12
"1/03/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Thamarrurr",11
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Thamarrurr",12
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Thamarrurr",14
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Tiwi Islands",3
"3/03/2025",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Unknown ",2
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Unknown ",3
"1/05/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Unknown ",8
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Unknown ",10
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Victoria River",9
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Weddell",2
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","West Arnhem",13
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Yuendumu - Anmatjere",13
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Yuendumu - Anmatjere",14
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"Palmerston","",20
"1/03/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"Tennant Creek","",4
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,1,"Tennant Creek","",5
"1/03/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Alice Springs","",31
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Alice Springs","",32
"3/03/2025",2023,12,"Acts intended to cause Injury","Assault",1,0,"Alice Springs","",33
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Alice Springs","",34
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Darwin","",60
"1/05/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Darwin","",61
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Darwin","",66
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Katherine","",16
"1/03/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Barkly",1
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Daly",1
"3/03/2025",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Daly",2
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","East Arnhem",1
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Humpty Doo",1
"1/03/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Petermann - Simpson",1
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Petermann - Simpson",2
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Sandover - Plenty",1
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Thamarrurr",2
"3/03/2025",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Unknown ",1
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Unknown ",2
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Unknown ",9
"1/03/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Unknown ",10
"1/03/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Victoria River",2
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Victoria River",3
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Weddell",1
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","West Arnhem",1
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"NT Balance","Yuendumu - Anmatjere",1
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Nhulunbuy","",1
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Palmerston","",8
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Palmerston","",9
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Tennant Creek","",7
"1/05/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Tennant Creek","",9
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,0,"Tennant Creek","",10
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"Alice Springs","",55
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"Alice Springs","",58
"3/03/2025",2023,12,"Acts intended to cause Injury","Assault",1,1,"Alice Springs","",59
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"Darwin","",51
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"Katherine","",36
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Alligator",6
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Anindilyakwa",2
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Barkly",1
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Daly",2
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","East Arnhem",4
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Elsey",9
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Gulf",8
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Gulf",9
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Humpty Doo",2
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Petermann - Simpson",5
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Petermann - Simpson",6
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Sandover - Plenty",4
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Tanami",6
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Thamarrurr",11
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Tiwi Islands",6
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Unknown ",8
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Unknown ",15
"1/05/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Unknown ",16
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Victoria River",2
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Weddell",1
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Weddell",2
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","West Arnhem",10
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"NT Balance","Yuendumu - Anmatjere",1
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"Nhulunbuy","",2
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"Palmerston","",32
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"Palmerston","",33
"1/05/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"Tennant Creek","",17
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",1,1,"Tennant Creek","",18
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"Alice Springs","",47
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"Darwin","",91
"1/05/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"Darwin","",92
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"Darwin","",97
"3/03/2025",2024,1,"Acts intended to cause Injury","Assault",0,0,"Darwin","",98
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"Katherine","",8
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Anindilyakwa",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Barkly",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Daly",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","East Arnhem",9
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Elsey",4
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Gulf",3
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Howard Springs",6
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Howard Springs",8
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Humpty Doo",2
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Humpty Doo",3
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Petermann - Simpson",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Sandover - Plenty",2
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Tanami",6
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Thamarrurr",9
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Tiwi Islands",6
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Unknown ",6
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Victoria River",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Virginia",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Yuendumu - Anmatjere",2
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"Nhulunbuy","",1
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"Palmerston","",24
