As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Daly,2
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,East Arnhem,1
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Petermann - Simpson,2
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Sandover - Plenty,1
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Thamarrurr,2
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Victoria River,3
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Weddell,1
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,West Arnhem,1
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Unknown ,1
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Palmerston,,9
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Tennant Creek,,10
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Alice Springs,,59
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Darwin,,51
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Katherine,,36
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Nhulunbuy,,2
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Alligator,6
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Anindilyakwa,2
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Barkly,1
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Daly,2
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,East Arnhem,4
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Elsey,9
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Gulf,9
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Humpty Doo,2
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Petermann - Simpson,6
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Sandover - Plenty,4
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Tanami,6
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Thamarrurr,11
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Tiwi Islands,6
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Victoria River,2
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Weddell,2
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,West Arnhem,10
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Yuendumu - Anmatjere,1
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Unknown ,8
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Palmerston,,33
3/03/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Tennant Creek,,18
3/03/2025,2023,12,Acts intended to cause Injury,Other acts intended to cause injury,-,-,Darwin,,1
3/03/2025,2023,12,Acts intended to cause Injury,Other acts intended to cause injury,-,-,NT Balance,Howard Springs,1
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Alice Springs,,51
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Darwin,,22
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Katherine,,13
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Nhulunbuy,,4
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Alligator,1
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Barkly,1
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Daly,4
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,East Arnhem,8
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Gulf,5
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Howard Springs,3
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Petermann - Simpson,2
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Sandover - Plenty,4
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Tanami,3
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Thamarrurr,1
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Victoria River,1
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Virginia,3
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Weddell,4
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,West Arnhem,6
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Yuendumu - Anmatjere,2
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Unknown ,3
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Palmerston,,8
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Tennant Creek,,20
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Alice Springs,,6
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Darwin,,4
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Katherine,,4
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Gulf,1
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Howard Springs,1
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Tiwi Islands,2
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Victoria River,1
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Palmerston,,3
3/03/2025,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Tennant Creek,,2
3/03/2025,2023,12,Homicide and related Offences,Driving causing death,-,-,Darwin,,1
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,Alice Springs,,115
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,Darwin,,34
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,Katherine,,19
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,Nhulunbuy,,1
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Anindilyakwa,7
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Barkly,3
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,East Arnhem,7
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Howard Springs,1
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Humpty Doo,2
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Tanami,1
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Thamarrurr,1
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Tiwi Islands,2
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Victoria River,6
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Weddell,3
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,West Arnhem,5
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Yuendumu - Anmatjere,2
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Unknown ,4
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,Palmerston,,15
3/03/2025,2023,12,House break-ins,House break-ins actual,-,-,Tennant Creek,,39
3/03/2025,2023,12,House break-ins,House break-ins attempted,-,-,Alice Springs,,20
3/03/2025,2023,12,House break-ins,House break-ins attempted,-,-,Darwin,,4
3/03/2025,2023,12,House break-ins,House break-ins attempted,-,-,Katherine,,2
3/03/2025,2023,12,House break-ins,House break-ins attempted,-,-,NT Balance,Anindilyakwa,2
3/03/2025,2023,12,House break-ins,House break-ins attempted,-,-,NT Balance,Tiwi Islands,1
3/03/2025,2023,12,House break-ins,House break-ins attempted,-,-,NT Balance,Unknown ,3
3/03/2025,2023,12,House break-ins,House break-ins attempted,-,-,Palmerston,,6
3/03/2025,2023,12,House break-ins,House break-ins attempted,-,-,Tennant Creek,,5
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Alice Springs,,19
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Darwin,,15
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Katherine,,2
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Nhulunbuy,,2
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Alligator,1
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Howard Springs,2
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Humpty Doo,2
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Sandover - Plenty,1
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Thamarrurr,2
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Tiwi Islands,1
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Victoria River,1
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Weddell,1
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,West Arnhem,1
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Palmerston,,13
3/03/2025,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Tennant Creek,,2
3/03/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Alice Springs,,7
3/03/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Darwin,,5
3/03/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Katherine,,1
3/03/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,NT Balance,Petermann - Simpson,2
3/03/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,NT Balance,Thamarrurr,2
3/03/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,NT Balance,Weddell,3
3/03/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Palmerston,,3
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Alice Springs,,283
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Darwin,,174
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Katherine,,54
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Nhulunbuy,,6
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Alligator,3
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Anindilyakwa,2
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Barkly,4
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Daly,1
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,East Arnhem,14
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Elsey,4
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Gulf,6
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Howard Springs,4
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Humpty Doo,2
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Petermann - Simpson,1
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Sandover - Plenty,3
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Tanami,1
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Thamarrurr,10
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Tiwi Islands,4
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Victoria River,2
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Virginia,3
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Weddell,7
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,West Arnhem,12
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Yuendumu - Anmatjere,1
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Unknown ,5
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Palmerston,,84
3/03/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Tennant Creek,,43
3/03/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,Alice Springs,,3
3/03/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,Darwin,,16
3/03/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,Katherine,,4
3/03/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,NT Balance,Anindilyakwa,1
3/03/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,NT Balance,Yuendumu - Anmatjere,1
3/03/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,NT Balance,Unknown ,1
3/03/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,Palmerston,,5
3/03/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,Tennant Creek,,4
3/03/2025,2023,12,Robbery - extortion and related offences,Blackmail and extortion,-,-,Nhulunbuy,,1
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Alice Springs,,7
