As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Darwin,,1
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,NT Balance,Yuendumu - Anmatjere,1
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Alice Springs,,1
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Darwin,,3
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Barkly,1
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Unknown ,1
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,,1
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,,5
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,,6
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,,4
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Nhulunbuy,,2
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Thamarrurr,2
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Tiwi Islands,1
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Victoria River,1
1/03/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Yuendumu - Anmatjere,1
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Alice Springs,,38
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Darwin,,59
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Katherine,,20
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Nhulunbuy,,2
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Barkly,1
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,East Arnhem,10
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Elsey,1
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Gulf,4
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Howard Springs,9
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Humpty Doo,1
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Petermann - Simpson,2
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Sandover - Plenty,1
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Tanami,1
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Thamarrurr,8
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Tiwi Islands,3
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Virginia,2
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Yuendumu - Anmatjere,2
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Unknown ,13
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Palmerston,,26
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Tennant Creek,,6
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,Alice Springs,,68
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,Darwin,,24
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,Katherine,,22
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Alligator,1
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Anindilyakwa,1
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Barkly,3
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,East Arnhem,18
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Elsey,1
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Gulf,7
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Howard Springs,1
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Humpty Doo,1
1/03/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Petermann - Simpson,5
